full_date,weekday,mood,activities
2026-01-07,Wednesday,good,"['relaxed ', ' good sleep ', ' friends ', ' date ', ' nap ', ' take a break ', ' cleaning ', ' sunny ', ' clouds ', ' wind']"
2026-01-06,Tuesday,good,"['relaxed ', ' content ', ' good sleep ', ' exercise ', ' drink water ', ' meditation ', ' make list ', ' focus ', ' take a break ', ' shopping ', ' cleaning ', ' sunny ', ' clouds ', ' wind']"
2026-01-05,Monday,meh,"['content ', ' tired ', ' sad ', ' Irritated ', ' medium sleep ', ' drink water ', ' nap ', ' focus ', ' take a break ', ' cleaning ', ' sunny ', ' wind']"
2026-01-04,Sunday,good,"['grateful ', ' relaxed ', ' medium sleep ', ' friends ', ' date ', ' nap ', ' take a break ', ' cleaning ', ' sunny ', ' clouds ', ' wind']"
2026-01-03,Saturday,good,"['happy ', ' grateful ', ' medium sleep ', ' friends ', ' date ', ' take a break ', ' cleaning ', ' laundry ', ' sunny ', ' clouds ', ' wind']"
2026-01-02,Friday,good,"['grateful ', ' relaxed ', ' good sleep ', ' family ', ' cleaning ', ' sunny ', ' wind']"
2026-01-01,Thursday,good,"['content ', ' stressed ', ' good sleep ', ' drink water ', ' walk ', ' kindness ', ' nap ', ' focus ', ' take a break ', ' cleaning ', ' laundry ', ' sunny ', ' clouds ', ' wind']"
2025-12-31,Wednesday,good,"['happy ', ' grateful ', ' relaxed ', ' medium sleep ', ' drink water ', ' meditation ', ' nap ', ' focus ', ' take a break ', ' cleaning ', ' sunny ', ' heat']"
2025-12-30,Tuesday,good,"['relaxed ', ' stressed ', ' good sleep ', ' drink water ', ' walk ', ' listen ', ' focus ', ' take a break ', ' shopping ', ' cleaning ', ' laundry ', ' sunny ', ' wind ', ' heat']"
2025-12-29,Monday,meh,"['grateful ', ' tired ', ' sad ', ' bad sleep ', ' friends ', ' date ', ' shopping ', ' cleaning ', ' laundry ', ' sunny ', ' heat ', ' humid']"
2025-12-28,Sunday,good,"['happy ', ' grateful ', ' medium sleep ', ' friends ', ' date ', ' listen ', ' cleaning ', ' sunny ', ' clouds ', ' heat']"
2025-12-27,Saturday,good,"['grateful ', ' good sleep ', ' friends ', ' date ', ' nap ', ' take a break ', ' shopping ', ' cleaning ', ' sunny ', ' clouds ', ' wind ', ' heat']"
2025-12-26,Friday,meh,"['relaxed ', ' medium sleep ', ' take a break ', ' shopping ', ' cleaning ', ' sunny ', ' clouds ', ' wind ', ' heat']"
2025-12-25,Thursday,good,"['happy ', ' grateful ', ' good sleep ', ' friends ', ' date ', ' nap ', ' take a break ', ' cleaning ', ' sunny ', ' clouds ', ' wind']"
2025-12-24,Wednesday,good,"['grateful ', ' tired ', ' anxious ', ' medium sleep ', ' friends ', ' date ', ' nap ', ' shopping ', ' cleaning ', ' laundry ', ' sunny ', ' clouds ', ' heat ', ' humid']"
2025-12-23,Tuesday,meh,"['anxious ', ' sad ', ' medium sleep ', ' friends ', ' date ', ' take a break ', ' shopping ', ' cleaning ', ' sunny ', ' clouds ', ' heat ', ' humid']"
2025-12-22,Monday,good,"['grateful ', ' medium sleep ', ' friends ', ' date ', ' take a break ', ' shopping ', ' cleaning ', ' laundry ', ' sunny ', ' clouds ', ' heat ', ' humid']"
2025-12-21,Sunday,meh,"['grateful ', ' tired ', ' angry ', ' sad ', ' bad sleep ', ' family ', ' friends ', ' date ', ' listen ', ' nap ', ' shopping ', ' cleaning ', ' laundry ', ' sunny ', ' heat ', ' humid']"
2025-12-20,Saturday,good,"['grateful ', ' content ', ' medium sleep ', ' friends ', ' date ', ' listen ', ' cleaning ', ' sunny ', ' clouds ', ' rain ', ' humid']"
2025-12-19,Friday,meh,"['stressed ', ' sad ', ' medium sleep ', ' friends ', ' date ', ' nap ', ' shopping ', ' cleaning ', ' sunny ', ' clouds ', ' wind']"
2025-12-18,Thursday,bad,"['stressed ', ' Irritated ', ' good sleep ', ' exercise ', ' focus ', ' take a break ', ' shopping ', ' cleaning ', ' sunny ', ' wind ', ' heat']"
2025-12-17,Wednesday,meh,"['grateful ', ' relaxed ', ' sad ', ' medium sleep ', ' family ', ' nap ', ' make list ', ' focus ', ' take a break ', ' shopping ', ' cleaning ', ' laundry ', ' sunny ', ' clouds ', ' wind']"
2025-12-16,Tuesday,meh,"['relaxed ', ' tired ', ' good sleep ', ' exercise ', ' nap ', ' focus ', ' take a break ', ' cleaning ', ' laundry ', ' sunny ', ' clouds ', ' wind']"
2025-12-15,Monday,meh,"['relaxed ', ' unsure ', ' sad ', ' good sleep ', ' listen ', ' nap ', ' make list ', ' focus ', ' take a break ', ' shopping ', ' cleaning ', ' laundry ', ' sunny ', ' clouds ', ' wind']"
2025-12-14,Sunday,meh,"['grateful ', ' tired ', ' sad ', ' good sleep ', ' friends ', ' cleaning ', ' clouds ', ' rain ', ' wind']"
2025-12-13,Saturday,awful,"['relaxed ', ' stressed ', ' sad ', ' friends ', ' date ', ' listen ', ' shopping ', ' cleaning ', ' sunny ', ' clouds ', ' wind ', ' heat']"
